description,enrolmentkey,groupname
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,9venl9,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,d96zel,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,jvf4dv,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,w34shk,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,uekn5d,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,ulbhwg,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,zmx39x,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,q95lcd,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,rut7qh,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,mwzznt,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; . &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,huncu8,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,4b3kxy,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,pufsk4,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,32ns7q,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,2g5gsk,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,bdxwxs,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;. &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,vvhl64,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1050;&#1088;&#1072;&#1089;&#1085;&#1086;&#1076;&#1072;&#1088;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,tv85p3,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,jx3ax4,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,6c8fs6,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,jeo59a,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,wmga54,&#1048;&#1085;&#1092;&#1086;&#1088;&#1084;&#1072;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072;,zs8mu5,&#1048;&#1089;&#1090;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072; &#1080; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,oyihlx,&#1050;&#1086;&#1085;&#1089;&#1090;&#1080;&#1090;&#1091;&#1094;&#1080;&#1086;&#1085;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,mgwxzo,&#1052;&#1077;&#1078;&#1076;&#1091;&#1085;&#1072;&#1088;&#1086;&#1076;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;&#1086;&#1093;&#1088;&#1072;&#1085;&#1080;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,n21g4t,&#1054;&#1088;&#1075;&#1072;&#1085;&#1080;&#1079;&#1072;&#1094;&#1080;&#1103; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1081; &#1076;&#1077;&#1103;&#1090;&#1077;&#1083;&#1100;&#1085;&#1086;&#1089;&#1090;&#1080;,0hnta9,&#1055;&#1088;&#1072;&#1074;&#1086;&#1074;&#1086;&#1077; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1077; &#1101;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086;,u4xw6q,&#1071;&#1079;&#1099;&#1082; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;&#1072;&#1083;&#1080;&#1089;&#1090;&#1080;&#1082;&#1072;,lnfvol,&#1057;&#1091;&#1076;&#1077;&#1073;&#1085;&#1072;&#1103; &#1101;&#1082;&#1089;&#1087;&#1077;&#1088;&#1090;&#1080;&#1079;&#1072; &#1080; &#1082;&#1088;&#1080;&#1084;&#1080;&#1085;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; &#1089;&#1091;&#1076;&#1077;&#1073;&#1085;&#1086;&#1081; &#1074;&#1083;&#1072;&#1089;&#1090;&#1080;,qwprn9,&#1058;&#1077;&#1086;&#1088;&#1080;&#1103; &#1087;&#1088;&#1072;&#1074;&#1072;&#44; &#1075;&#1086;&#1089;&#1091;&#1076;&#1072;&#1088;&#1089;&#1090;&#1074;&#1072; &#1080; . &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;&#1075;&#1086; &#1086;&#1073;&#1077;&#1089;&#1087;&#1077;&#1095;&#1077;&#1085;&#1080;&#1103;,a8c9re,&#1058;&#1088;&#1091;&#1076;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1080; &#1087;&#1088;&#1072;&#1074;&#1086; &#1089;&#1086;&#1094;&#1080;&#1072;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,1nhvj0,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,fy997c,&#1059;&#1075;&#1086;&#1083;&#1086;&#1074;&#1085;&#1086;-&#1087;&#1088;&#1086;&#1094;&#1077;&#1089;&#1089;&#1091;&#1072;&#1083;&#1100;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;&#1090;&#1072;&#1088;&#1085;&#1099;&#1077; &#1076;&#1080;&#1089;&#1094;&#1080;&#1087;&#1083;&#1080;&#1085;&#1099;,x16wk7,&#1060;&#1080;&#1083;&#1086;&#1089;&#1086;&#1092;&#1080;&#1103; &#1080; &#1089;&#1086;&#1094;&#1080;&#1072;&#1083;&#1100;&#1085;&#1086;-&#1075;&#1091;&#1084;&#1072;&#1085;&#1080;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,er0f10,&#1060;&#1080;&#1085;&#1072;&#1085;&#1089;&#1086;&#1074;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;&#1078;&#1080;&#1084;&#1086;&#1089;&#1090;&#1100;&#1102;,2jqqd7,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1080; &#1091;&#1087;&#1088;&#1072;&#1074;&#1083;&#1077;&#1085;&#1080;&#1077; &#1085;&#1077;&#1076;&#1074;&#1080;. &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082; &#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072;,zkm1y6,&#1069;&#1082;&#1086;&#1085;&#1086;&#1084;&#1080;&#1082;&#1072; &#1063;&#1077;&#1083;&#1103;&#1073;&#1080;&#1085;&#1089;&#1082;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,2vm8f1,&#1040;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,tm4381,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086; &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077; &#1089;&#1091;&#1076;&#1086;&#1087;&#1088;&#1086;&#1080;&#1079;&#1074;&#1086;&#1076;&#1089;&#1090;&#1074;&#1086;,nvv3h7,&#1043;&#1088;&#1072;&#1078;&#1076;&#1072;&#1085;&#1089;&#1082;&#1086;&#1077; &#1080; &#1072;&#1076;&#1084;&#1080;&#1085;&#1080;&#1089;&#1090;&#1088;&#1072;&#1090;&#1080;&#1074;&#1085;&#1086;&#1077;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
&#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078; &#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;&#1086;,1r74vv,&#1047;&#1077;&#1084;&#1077;&#1083;&#1100;&#1085;&#1086;&#1077; &#1080; &#1101;&#1082;&#1086;&#1083;&#1086;&#1075;&#1080;&#1095;&#1077;&#1089;&#1082;&#1086;&#1077; &#1087;&#1088;&#1072;&#1074;. &#1042;&#1086;&#1088;&#1086;&#1085;&#1077;&#1078;
